elapsed_s,speed_kmh,rpm,power_w,resistance,heart_rate_bpm,cum_distance_m
860,26.72,108,100,4,57,6856
870,27.04,106,103,4,111,6920
880,28.16,105,115,5,138,7001
890,29.13,104,125,6,137,7081
900,30.09,105,138,7,139,7162
910,31.06,108,149,8,141,7242
920,31.06,109,150,8,144,7339
930,31.22,110,151,8,145,7419
940,30.9,107,148,8,132,7516
950,31.06,108,149,8,73,7596
960,30.9,108,148,8,45,7677
970,30.09,109,138,7,150,7773
980,30.09,107,136,7,30,7854
990,29.93,107,136,7,107,7934
1000,29.13,108,125,6,151,8015
1010,28.16,109,114,5,149,8095
1020,28,109,114,5,149,8175
1030,28.16,110,115,5,148,8256
1040,28,109,114,5,90,8336
1050,28.16,110,114,5,148,8401
1060,27.84,106,111,5,148,8481
1070,27.84,107,112,5,147,8562
1080,28,108,113,5,145,8642
1090,27.84,106,111,5,144,8723
1100,28,108,113,5,144,8787
1110,27.84,107,112,5,142,8867
1120,27.68,105,109,5,141,8948
1130,27.68,105,110,5,140,9028
1140,28.16,104,115,6,139,9109
1150,29.13,103,126,7,137,9189
1160,30.42,106,142,8,136,9270
1170,31.38,107,155,9,140,9350
1180,32.03,109,162,9,142,9447
1190,31.86,107,160,9,147,9527
